SiteID,country,city,location,latitude,longitude,population,institution,website
AT001,AT,Graz,ARA Graz,47.070713,15.439504,487040,,https://biomassspec.gmi.tirol/
AT002,AT,Hall-Wattens,Abwasserverband Hall in Tirol-Fritzens,47.29168,11.59284,78180,,https://biomassspec.gmi.tirol/
AT004,AT,Innsbruck,ARA-Innsbruck,47.269212,11.404102,251656,Institute of Legal Medicine and Core Facility Metabolomics,http//gerichtsmedizin.at/bioanalytical_mass_spectrometry.html
AT005,AT,Kapfenberg,Kläranlage Kapfenberg,47.443562,15.2901,31032,,https://biomassspec.gmi.tirol/
AT006,AT,Klosterneuburg,Klosterneuburg,48.309866,16.323772,30000,"Insitute for Water quality, Resource and Waste management",http//iwr.tuwien.ac.at/water/
AT007,AT,Kufstein,Abwasserverband Kufstein,47.582958,12.17077,41688,,https://biomassspec.gmi.tirol/
AT009,AT,Mürzzuschlag,Kläranlage Langenwang,47.566639,15.6182,30200,,https://biomassspec.gmi.tirol/
AT010,AT,Purgstall,GAV Erlauftal,48.057812,15.13545,7774,,https://biomassspec.gmi.tirol/
AT008,AT,Region Millstättersee,Wasserverband Millstaettersee,46.81924,13.52146,94448,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
AT011,AT,Strass im Zillertal,AIZ Abwasserverband,47.395748,11.82211,135458,,https://biomassspec.gmi.tirol/
AT003,AT,Wasserverband Hofsteig,ARA Hofsteig,47.4852,9.6762,97474,Institute of Legal Medicine and Core Facility Metabolomics,https://biomassspec.gmi.tirol/
BA001,BA,Sarajevo,Butile,43.87,18.29,130000,Hydro-Engineering Institute Sarajevo,http//www.heis.com.ba/
BE001,BE,Antwerp Deurne,Deurne,51.22,4.46,213876,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE002,BE,Antwerp Zuid,Antwerpen-Zuid,51.2,4.39,130218,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE003,BE,Boom,Boom,51.08608,4.36633,30600,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE004,BE,Brugge,Brugge,51.20942,3.2252,3.00E+05,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE005,BE,Brussels,Brussel-Noord,50.86,4.36,953987,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE006,BE,Geraardsbergen,Geraardsbergen,50.77,3.88,29047,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE007,BE,Koksijde,Wulpen,51.1,2.7,78441,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE008,BE,Merchtem,Merchtem,50.95842,4.23244,16200,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE009,BE,Ninove,Ninove,50.85,4.03,36179,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE010,BE,Oostende,Oostende,51.21543,2.928656,159000,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
BE011,BE,Ruisbroek (Puurs),Ruisbroek,50.79035,4.29862,36000,"Toxicological Center, University of Antwerp",www.uantwerpen.be/en/rg/tox/
CH001,CH,Basel,ARA Basel,47.56,7.59,273075,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH002,CH,Berne,ARA Bern,46.83,7.62,224557,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH003,CH,Geneva,STEP SIG,46.2,6.17,454433,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH004,CH,Lausanne,STEP Vidy,46.52,6.63,220000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH005,CH,Lugano,Bioggio,46.02,8.91,103561,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH007,CH,St. Gallen Hofen,St. Gallen Hofen,47.42,9.38,57000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CH008,CH,Zurich,Werdhölzli,47.37,8.51,471275,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management",
CY001,CY,Agia Napa,Sewage treatment plant of Agia Napa-Paralimni,34.99075445,33.99998142,23437,,
CY002,CY,Larnaca,Sewage Bioard of Larnaca,34.91516435,33.63619883,76819,,
CY003,CY,Limassol,Sewerage Board of Limassol-Amathus (SBLA),34.69,33.02,206744,"NIREAS, International Water Research Center, University of Cyprus",http//www.nireas-iwrc.org/
CY005,CY,Nicosia (2),Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia,35.17,33.4,97108,,
CY007,CY,Paphos,Sewage Borad of Pafos,34.77585363,32.421595,79230,,
CZ001,CZ,Brno,Waterworks and sewage of city Brno,49.19506,16.606837,445000,"South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses, University of South Bohemia in Ceske Budejovice",www.frov.jcu.cz/en/
CZ002,CZ,Budweis,UCOV CB,48.96,14.46,110300,"South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses, University of South Bohemia in Ceske Budejovice",www.frov.jcu.cz/en/
CZ003,CZ,Karlovy Vary,COV Karloy Vary,50.23204,12.87099,67544,T. G. Masaryk Water Research Institute,www.vuv.cz
CZ004,CZ,Ostrava,UCOV Ostrava,49.833864,18.281034,262729,T. G. Masaryk Water Research Institute,www.vuv.cz
CZ005,CZ,Prague (2),UCOV Praha,50.08,14.43,1332000,"South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses, University of South Bohemia in Ceske Budejovice",www.frov.jcu.cz/en/
DE001,DE,Berlin (4),Berlin 4 plants,52.52,13.4,3993500,IFT Institut für Therapieforschung,www.ift.de/index.php
DE008,DE,Chemnitz,Chemnitz,50.827845,12.92137,250700,IFT Institut für Therapieforschung,www.ift.de/index.php
DE009,DE,Dortmund,Deusen,51.52,7.46,399425,IFT Institut für Therapieforschung,www.ift.de/index.php
DE010,DE,Dresden,Dresden-Kaditz,51.05089,13.73832,702300,IFT Institut für Therapieforschung,www.ift.de/index.php
DE011,DE,Dülmen,Dülmen,51.84,7.28,34704,IFT Institut für Therapieforschung,www.ift.de/index.php
DE012,DE,Erfurt,Erfurt,50.984768,11.02988,215750,IFT Institut für Therapieforschung,www.ift.de/index.php
DE013,DE,Frankfurt (3),Frankfurt 3 plants,50.110922,8.682127,1118389,IFT Institut für Therapieforschung,www.ift.de/index.php
DE017,DE,Hamburg (2),Hamburg 2 plants,53.551085,9.993682,2050000,IFT Institut für Therapieforschung,www.ift.de/index.php
DE020,DE,Hannover (2),Hannover 2 plants,52.375892,9.73201,740000,IFT Institut für Therapieforschung,www.ift.de/index.php
DE023,DE,Magdeburg,,52.120533,11.627624,277735,IFT Institut für Therapieforschung,www.ift.de/index.php
DE024,DE,Mainz,Mainz,49.992862,8.247253,200344,IFT Institut für Therapieforschung,www.ift.de/index.php
DE026,DE,Munich Gut Großlappen,Gut_Grosslappen,48.14,11.58,1226300,IFT Institut für Therapieforschung,www.ift.de/index.php
DE028,DE,Nuremberg,Nürnberg,49.452102,11.076665,417235,IFT Institut für Therapieforschung,www.ift.de/index.php
DE029,DE,Rostock,Rostock,54.092441,12.099147,237316,IFT Institut für Therapieforschung,www.ift.de/index.php
DE030,DE,Saarbrücken (2),Saarbrucken 2 plants,49.240157,6.996933,203643,IFT Institut für Therapieforschung,www.ift.de/index.php
DE033,DE,Stuttgart,Stuttgart,48.775846,9.182932,602000,IFT Institut für Therapieforschung,www.ift.de/index.php
DK001,DK,Copenhagen,Lynetten,55.69,12.62,685000,"DTU Environment, Technical University of Denmark",http//www.dtu.dk/
DK002,DK,Odense,Ejby Mølle,55.40132682,10.38751426,160000,,
EE001,EE,Narva,AS Narva Vesi,59.37498915,28.19221537,57212,,
EE002,EE,Tartu,AS Tartu Veevärk,58.37701749,26.72979814,1.00E+05,,
ES001,ES,Barcelona,Baix Llobregat,41.43,1.97,1200831,"Research Institute for Pesticides and Water, University Jaume I",www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
ES002,ES,Castellon,EDAR Castellón,40.23,-0.12,179661,"Research Institute for Pesticides and Water, University Jaume I",www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
ES003,ES,Madrid VdlV,Viveros de la Villa,40.41669,-3.70035,440800,"Research Institute for Pesticides and Water, University Jaume I",www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/
