Country Name,Country,year,GDP per Capita(USD)
Austria,AT,2011,51442.27625
Austria,AT,2012,48564.91734
Austria,AT,2013,50731.12725
Austria,AT,2014,51786.37717
Austria,AT,2015,44195.81759
Austria,AT,2016,45307.58786
Austria,AT,2017,47429.15846
Austria,AT,2018,51486.5755
Austria,AT,2019,50114.40111
Austria,AT,2020,48588.65938
Belgium,BE,2011,47410.56693
Belgium,BE,2012,44670.56068
Belgium,BE,2013,46757.95186
Belgium,BE,2014,47764.07151
Belgium,BE,2015,41008.29672
Belgium,BE,2016,42012.62272
Belgium,BE,2017,44198.48239
Belgium,BE,2018,47542.76952
Belgium,BE,2019,46591.49161
Belgium,BE,2020,45205.33594
Bosnia and Herzegovina,BA,2011,5092.554723
Bosnia and Herzegovina,BA,2012,4777.066914
Bosnia and Herzegovina,BA,2013,5129.663534
Bosnia and Herzegovina,BA,2014,5330.355075
Bosnia and Herzegovina,BA,2015,4729.689959
Bosnia and Herzegovina,BA,2016,4994.971551
Bosnia and Herzegovina,BA,2017,5394.268944
Bosnia and Herzegovina,BA,2018,6070.349081
Bosnia and Herzegovina,BA,2019,6119.762345
Bosnia and Herzegovina,BA,2020,6079.738285
Switzerland,CH,2011,91254.03476
Switzerland,CH,2012,86547.67089
Switzerland,CH,2013,88109.48675
Switzerland,CH,2014,89684.70758
Switzerland,CH,2015,84776.14217
Switzerland,CH,2016,83073.28008
Switzerland,CH,2017,83352.08865
Switzerland,CH,2018,86388.40495
Switzerland,CH,2019,85334.51946
Switzerland,CH,2020,87100.41482
Cyprus,CY,2011,32396.38574
Cyprus,CY,2012,28912.15694
Cyprus,CY,2013,27729.1927
Cyprus,CY,2014,27163.33297
Cyprus,CY,2015,23408.33668
Cyprus,CY,2016,24605.92083
Cyprus,CY,2017,26608.87509
Cyprus,CY,2018,29334.11093
Cyprus,CY,2019,29206.07672
Cyprus,CY,2020,27527.84531
Czech Republic,CZ,2011,21871.26608
Czech Republic,CZ,2012,19870.80121
Czech Republic,CZ,2013,20133.16914
Czech Republic,CZ,2014,19890.91991
Czech Republic,CZ,2015,17829.69832
Czech Republic,CZ,2016,18575.23203
Czech Republic,CZ,2017,20636.19995
Czech Republic,CZ,2018,23419.73561
Czech Republic,CZ,2019,23660.14881
Czech Republic,CZ,2020,22933.49959
Germany,DE,2011,46705.8958
Germany,DE,2012,43855.85447
Germany,DE,2013,46298.92292
Germany,DE,2014,48023.86998
Germany,DE,2015,41103.25644
Germany,DE,2016,42136.12079
Germany,DE,2017,44652.58917
Germany,DE,2018,47973.60762
Germany,DE,2019,46794.89929
Germany,DE,2020,46252.6893
Denmark,DK,2011,61753.64713
Denmark,DK,2012,58507.50805
Denmark,DK,2013,61191.1937
Denmark,DK,2014,62548.98473
Denmark,DK,2015,53254.85637
Denmark,DK,2016,54663.99837
Denmark,DK,2017,57610.09818
Denmark,DK,2018,61591.92887
Denmark,DK,2019,59775.7351
Denmark,DK,2020,61063.31643
Spain,ES,2011,31677.90031
Spain,ES,2012,28322.80925
Spain,ES,2013,29067.80946
Spain,ES,2014,29500.78943
Spain,ES,2015,25742.36883
Spain,ES,2016,26523.34822
Spain,ES,2017,28170.16786
Spain,ES,2018,30364.57994
Spain,ES,2019,29554.49052
Spain,ES,2020,27056.42175
Estonia,EE,2011,17487.80478
Estonia,EE,2012,17403.20533
Estonia,EE,2013,19056.00192
Estonia,EE,2014,20261.06673
Estonia,EE,2015,17402.03761
Estonia,EE,2016,18295.34293
Estonia,EE,2017,20437.76538
Estonia,EE,2018,23063.56382
Estonia,EE,2019,23397.87826
Estonia,EE,2020,23054.35849
Finland,FI,2011,51148.93164
Finland,FI,2012,47708.06128
Finland,FI,2013,49892.22336
Finland,FI,2014,50327.24029
Finland,FI,2015,42801.90812
Finland,FI,2016,43814.02651
Finland,FI,2017,46412.13648
Finland,FI,2018,49988.91085
Finland,FI,2019,48628.64176
Finland,FI,2020,48755.35501
France,FR,2011,43848.10605
France,FR,2012,40872.36246
France,FR,2013,42605.04438
France,FR,2014,43068.54872
France,FR,2015,36652.92231
